,80,207,314,378,389,694,695,715,875,935,1057,1060,1088,1152,1602,1750,1917
0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1
2,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1
3,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1
4,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1
5,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1
6,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1
7,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1
8,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1
9,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1
10,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1
11,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1
12,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
13,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1
14,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1
15,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1
16,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1
17,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1
18,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1
19,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1
20,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1
21,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1
22,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1
23,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1
24,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1
25,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1
26,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1
27,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1
28,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1
29,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1
30,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1
31,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1
